,Unnamed: 0,Batter_Name,bowler.type,Runs,BallsFaced,StrikeRate
1072,1073,Sanju Samson,Left arm pace,321,201,159.7
1073,1074,Sanju Samson,Leg spin,379,245,154.69
1074,1075,Sanju Samson,Off spin,120,90,133.33
1075,1076,Sanju Samson,Right arm pace,778,548,141.97
1076,1077,Sanju Samson,Slow left arm orthodox,206,145,142.07
1077,1078,Sam Billings,Left arm wrist spin,1,1,100.0
1078,1079,Sam Billings,Left arm pace,16,19,84.21
1079,1080,Sam Billings,Leg spin,40,32,125.0
1080,1081,Sam Billings,Off spin,9,9,100.0
1081,1082,Sam Billings,Right arm pace,69,51,135.29
1082,1083,Sam Billings,Slow left arm orthodox,34,26,130.77
1083,1084,Shams Mulani,Right arm pace,1,1,100.0
1084,1085,Sachin Baby,Leg spin,2,6,33.33
1085,1086,Sachin Baby,Off spin,1,1,100.0
1086,1087,Sachin Baby,Right arm pace,4,10,40.0
1087,1088,Sameer Rizvi,Left arm pace,9,4,225.0
1088,1089,Sameer Rizvi,Leg spin,19,10,190.0
1089,1090,Sameer Rizvi,Right arm pace,16,18,88.89
1090,1091,Sameer Rizvi,Slow left arm orthodox,7,11,63.64
1091,1092,Sandeep Sharma,Left arm pace,6,4,150.0
1092,1093,Sandeep Sharma,Off spin,0,1,0.0
1093,1094,Sandeep Sharma,Right arm pace,4,8,50.0
1095,1096,Sanvir Singh,Leg spin,1,1,100.0
1096,1097,Sanvir Singh,Off spin,0,1,0.0
1097,1098,Sanvir Singh,Right arm pace,18,15,120.0
1098,1099,Sanvir Singh,Slow left arm orthodox,2,3,66.67
1099,1100,Saurav Chauhan,Left arm pace,1,1,100.0
1100,1101,Saurav Chauhan,Leg spin,0,1,0.0
1101,1102,Saurav Chauhan,Off spin,7,3,233.33
1102,1103,Saurav Chauhan,Right arm pace,10,10,100.0
1103,1104,Shahbaz Ahmed,Left arm wrist spin,16,8,200.0
1104,1105,Shahbaz Ahmed,Left arm pace,107,77,138.96
1105,1106,Shahbaz Ahmed,Leg spin,49,67,73.13
1106,1107,Shahbaz Ahmed,Off spin,56,53,105.66
1107,1108,Shahbaz Ahmed,Right arm pace,248,182,136.26
1108,1109,Shahbaz Ahmed,Slow left arm orthodox,59,54,109.26
1109,1110,Shakib Al Hasan,Left arm pace,4,5,80.0
1110,1111,Shakib Al Hasan,Leg spin,4,6,66.67
1111,1112,Shakib Al Hasan,Off spin,19,15,126.67
1112,1113,Shakib Al Hasan,Right arm pace,20,19,105.26
1113,1114,Shakib Al Hasan,Slow left arm orthodox,0,3,0.0
1114,1115,Shashank Singh,Left arm wrist spin,13,12,108.33
1115,1116,Shashank Singh,Left arm pace,35,30,116.67
1116,1117,Shashank Singh,Leg spin,78,42,185.71
1117,1118,Shashank Singh,Off spin,16,16,100.0
1118,1119,Shashank Singh,Right arm pace,249,131,190.08
1119,1120,Shashank Singh,Slow left arm orthodox,32,31,103.23
1120,1121,Shivam Mavi,Left arm pace,5,3,166.67
1121,1122,Shivam Mavi,Leg spin,1,5,20.0
1122,1123,Shivam Mavi,Right arm pace,22,19,115.79
1123,1124,Shivam Singh,Left arm pace,1,1,100.0
